Cantidad_Total_Productos,Compra_Total,Cantidad_Compras,Total_Subcategorias_Compradas,Q_Productos_Compra,Ticket_Compra,Cluster
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
3,2097.2947,1,1,3.0,2097.2947,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
2,1398.1964,1,1,2.0,1398.1964,Cluster 4
3,2097.2947,1,1,3.0,2097.2947,Cluster 4
1,3374.99,1,1,1.0,3374.99,Cluster 4
3,2097.2947,1,1,3.0,2097.2947,Cluster 4
1,699.0982,1,1,1.0,699.0982,Cluster 4
1,699.0982,1,1,1.0,699.0982,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
3,2097.2947,1,1,3.0,2097.2947,Cluster 4
1,699.0982,1,1,1.0,699.0982,Cluster 4
1,699.0982,1,1,1.0,699.0982,Cluster 4
1,699.0982,1,1,1.0,699.0982,Cluster 4
1,3374.99,1,1,1.0,3374.99,Cluster 4
1,3399.99,1,1,1.0,3399.99,Cluster 4
1,3399.99,1,1,1.0,3399.99,Cluster 4
1,3374.99,1,1,1.0,3374.99,Cluster 4
1,3374.99,1,1,1.0,3374.99,Cluster 4
2,1398.1964,1,1,2.0,1398.1964,Cluster 4
2,1398.1964,1,1,2.0,1398.1964,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3374.99,1,1,1.0,3374.99,Cluster 4
1,3399.99,1,1,1.0,3399.99,Cluster 4
1,3374.99,1,1,1.0,3374.99,Cluster 4
1,3399.99,1,1,1.0,3399.99,Cluster 4
1,3399.99,1,1,1.0,3399.99,Cluster 4
1,3399.99,1,1,1.0,3399.99,Cluster 4
1,3374.99,1,1,1.0,3374.99,Cluster 4
1,3374.99,1,1,1.0,3374.99,Cluster 4
1,3374.99,1,1,1.0,3374.99,Cluster 4
1,3399.99,1,1,1.0,3399.99,Cluster 4
1,3399.99,1,1,1.0,3399.99,Cluster 4
1,3374.99,1,1,1.0,3374.99,Cluster 4
1,3399.99,1,1,1.0,3399.99,Cluster 4
1,3374.99,1,1,1.0,3374.99,Cluster 4
1,3399.99,1,1,1.0,3399.99,Cluster 4
1,3399.99,1,1,1.0,3399.99,Cluster 4
1,3399.99,1,1,1.0,3399.99,Cluster 4
1,3374.99,1,1,1.0,3374.99,Cluster 4
1,3374.99,1,1,1.0,3374.99,Cluster 4
1,3399.99,1,1,1.0,3399.99,Cluster 4
1,3374.99,1,1,1.0,3374.99,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
2,1398.1964,1,1,2.0,1398.1964,Cluster 4
2,1398.1964,1,1,2.0,1398.1964,Cluster 4
3,2097.2947,1,1,3.0,2097.2947,Cluster 4
3,2097.2947,1,1,3.0,2097.2947,Cluster 4
1,699.0982,1,1,1.0,699.0982,Cluster 4
1,699.0982,1,1,1.0,699.0982,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,699.0982,1,1,1.0,699.0982,Cluster 4
1,699.0982,1,1,1.0,699.0982,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,699.0982,1,1,1.0,699.0982,Cluster 4
3,2097.2947,1,1,3.0,2097.2947,Cluster 4
1,3399.99,1,1,1.0,3399.99,Cluster 4
3,2097.2947,1,1,3.0,2097.2947,Cluster 4
1,699.0982,1,1,1.0,699.0982,Cluster 4
3,2097.2947,1,1,3.0,2097.2947,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
2,1398.1964,1,1,2.0,1398.1964,Cluster 4
2,1398.1964,1,1,2.0,1398.1964,Cluster 4
2,1398.1964,1,1,2.0,1398.1964,Cluster 4
2,1398.1964,1,1,2.0,1398.1964,Cluster 4
1,3374.99,1,1,1.0,3374.99,Cluster 4
1,3399.99,1,1,1.0,3399.99,Cluster 4
1,3399.99,1,1,1.0,3399.99,Cluster 4
1,3399.99,1,1,1.0,3399.99,Cluster 4
1,3399.99,1,1,1.0,3399.99,Cluster 4
1,3374.99,1,1,1.0,3374.99,Cluster 4
2,1398.1964,1,1,2.0,1398.1964,Cluster 4
2,1398.1964,1,1,2.0,1398.1964,Cluster 4
1,3374.99,1,1,1.0,3374.99,Cluster 4
1,3399.99,1,1,1.0,3399.99,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3374.99,1,1,1.0,3374.99,Cluster 4
1,3374.99,1,1,1.0,3374.99,Cluster 4
1,3399.99,1,1,1.0,3399.99,Cluster 4
1,3399.99,1,1,1.0,3399.99,Cluster 4
1,3399.99,1,1,1.0,3399.99,Cluster 4
1,3374.99,1,1,1.0,3374.99,Cluster 4
1,3374.99,1,1,1.0,3374.99,Cluster 4
1,3374.99,1,1,1.0,3374.99,Cluster 4
1,3374.99,1,1,1.0,3374.99,Cluster 4
1,3374.99,1,1,1.0,3374.99,Cluster 4
1,3399.99,1,1,1.0,3399.99,Cluster 4
1,3399.99,1,1,1.0,3399.99,Cluster 4
1,3374.99,1,1,1.0,3374.99,Cluster 4
1,3374.99,1,1,1.0,3374.99,Cluster 4
1,3374.99,1,1,1.0,3374.99,Cluster 4
1,3374.99,1,1,1.0,3374.99,Cluster 4
1,3399.99,1,1,1.0,3399.99,Cluster 4
1,3374.99,1,1,1.0,3374.99,Cluster 4
1,3374.99,1,1,1.0,3374.99,Cluster 4
1,3399.99,1,1,1.0,3399.99,Cluster 4
1,3399.99,1,1,1.0,3399.99,Cluster 4
1,3374.99,1,1,1.0,3374.99,Cluster 4
1,3374.99,1,1,1.0,3374.99,Cluster 4
1,3374.99,1,1,1.0,3374.99,Cluster 4
1,3374.99,1,1,1.0,3374.99,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
2,1398.1964,1,1,2.0,1398.1964,Cluster 4
2,1398.1964,1,1,2.0,1398.1964,Cluster 4
2,1398.1964,1,1,2.0,1398.1964,Cluster 4
1,699.0982,1,1,1.0,699.0982,Cluster 4
2,1398.1964,1,1,2.0,1398.1964,Cluster 4
3,2097.2947,1,1,3.0,2097.2947,Cluster 4
1,699.0982,1,1,1.0,699.0982,Cluster 4
2,1398.1964,1,1,2.0,1398.1964,Cluster 4
3,2097.2947,1,1,3.0,2097.2947,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
3,2097.2947,1,1,3.0,2097.2947,Cluster 4
2,1398.1964,1,1,2.0,1398.1964,Cluster 4
3,2097.2947,1,1,3.0,2097.2947,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
2,1398.1964,1,1,2.0,1398.1964,Cluster 4
2,1398.1964,1,1,2.0,1398.1964,Cluster 4
1,699.0982,1,1,1.0,699.0982,Cluster 4
1,699.0982,1,1,1.0,699.0982,Cluster 4
1,3374.99,1,1,1.0,3374.99,Cluster 4
3,2097.2947,1,1,3.0,2097.2947,Cluster 4
3,2097.2947,1,1,3.0,2097.2947,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,699.0982,1,1,1.0,699.0982,Cluster 4
3,2097.2947,1,1,3.0,2097.2947,Cluster 4
3,2097.2947,1,1,3.0,2097.2947,Cluster 4
1,699.0982,1,1,1.0,699.0982,Cluster 4
3,2097.2947,1,1,3.0,2097.2947,Cluster 4
2,1398.1964,1,1,2.0,1398.1964,Cluster 4
1,699.0982,1,1,1.0,699.0982,Cluster 4
3,2097.2947,1,1,3.0,2097.2947,Cluster 4
1,3374.99,1,1,1.0,3374.99,Cluster 4
1,3374.99,1,1,1.0,3374.99,Cluster 4
1,3374.99,1,1,1.0,3374.99,Cluster 4
1,3374.99,1,1,1.0,3374.99,Cluster 4
1,3399.99,1,1,1.0,3399.99,Cluster 4
1,3399.99,1,1,1.0,3399.99,Cluster 4
1,3399.99,1,1,1.0,3399.99,Cluster 4
1,3374.99,1,1,1.0,3374.99,Cluster 4
1,3374.99,1,1,1.0,3374.99,Cluster 4
1,3399.99,1,1,1.0,3399.99,Cluster 4
1,3399.99,1,1,1.0,3399.99,Cluster 4
1,3399.99,1,1,1.0,3399.99,Cluster 4
1,3374.99,1,1,1.0,3374.99,Cluster 4
1,699.0982,1,1,1.0,699.0982,Cluster 4
1,3374.99,1,1,1.0,3374.99,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3578.27,1,1,1.0,3578.27,Cluster 4
1,3374.99,1,1,1.0,3374.99,Cluster 4
1,3374.99,1,1,1.0,3374.99,Cluster 4
1,3374.99,1,1,1.0,3374.99,Cluster 4
1,3399.99,1,1,1.0,3399.99,Cluster 4
1,3374.99,1,1,1.0,3374.99,Cluster 4
1,3374.99,1,1,1.0,3374.99,Cluster 4
1,3399.99,1,1,1.0,3399.99,Cluster 4
1,3399.99,1,1,1.0,3399.99,Cluster 4
1,3374.99,1,1,1.0,3374.99,Cluster 4
1,3399.99,1,1,1.0,3399.99,Cluster 4
1,3374.99,1,1,1.0,3374.99,Cluster 4
1,3374.99,1,1,1.0,3374.99,Cluster 4
1,3374.99,1,1,1.0,3374.99,Cluster 4
1,3374.99,1,1,1.0,3374.99,Cluster 4
